nombre,semestre,documento,correo,seccional
 Manuel  García  Bravo,1,7369614439,.manuel..garcía..bravo0000@udea.edu.co,Sede Nordeste
 Alejandro  Suárez  Guerrero,1,1387295859,.alejandro..suárez..guerrero0001@udea.edu.co,Sede Nordeste
 Ana  Pascual  Ochoa,1,9143614274,.ana..pascual..ochoa0002@udea.edu.co,Seccional Magdalena Medio
 Sebastián  Martínez  Vargas,1,1299066276,.sebastián..martínez..vargas0003@udea.edu.co,Sede Norte
 Samuel  Carretero  Arias,1,0039681661,.samuel..carretero..arias0004@udea.edu.co,Sede Sonsón
 David  Domínguez  Díaz,1,0113918359,.david..domínguez..díaz0005@udea.edu.co,Sede Sonsón
 Daniela  Ruiz  Torres,1,5920550218,.daniela..ruiz..torres0006@udea.edu.co,Seccional Suroeste
 Andrés  Benítez  Álvarez,1,8487524784,.andrés..benítez..álvarez0007@udea.edu.co,Seccional Suroeste
 Esteban  Abad  González,1,8456028954,.esteban..abad..gonzález0008@udea.edu.co,Sede Norte
 Isabel  Iglesias  Prieto,1,3277594854,.isabel..iglesias..prieto0009@udea.edu.co,Seccional Urabá
 Manuel  Rodríguez ﻿Apellidos,1,1842775146,.manuel..rodríguez.﻿apellidos0010@udea.edu.co,Seccional Occidente
 Laura  Castro  Vicente,1,3398502305,.laura..castro..vicente0011@udea.edu.co,Sede Nordeste
 Natalia  Suárez  Marín,1,3562006024,.natalia..suárez..marín0012@udea.edu.co,Seccional Urabá
 Leonardo  Benítez  Molina,1,2839150002,.leonardo..benítez..molina0013@udea.edu.co,Seccional Bajo Cauca
 Carlos  Rubio  Muñoz,1,5140086946,.carlos..rubio..muñoz0014@udea.edu.co,Seccional Suroeste
 Simón  Arias  Castro,1,6469525861,.simón..arias..castro0015@udea.edu.co,Seccional Magdalena Medio
 Carolina  Rubio  Pascual,1,0074773928,.carolina..rubio..pascual0016@udea.edu.co,Seccional Suroeste
 José  Calvo  Vega,1,4270762903,.josé..calvo..vega0017@udea.edu.co,Seccional Urabá
 Samuel  Herrero  Morales,1,1937735880,.samuel..herrero..morales0018@udea.edu.co,Seccional Suroeste
 Laura  Carretero  Sánchez,1,7722281866,.laura..carretero..sánchez0019@udea.edu.co,Sede Distrito Minero
 Samantha  Calvo  Castro,1,5884308083,.samantha..calvo..castro0020@udea.edu.co,Seccional Occidente
 Diego  Suárez  Ortega,1,4508954558,.diego..suárez..ortega0021@udea.edu.co,Seccional Urabá
 María  Medina  Molina,1,1564812223,.maría..medina..molina0022@udea.edu.co,Seccional Occidente
 Marcela  Ramírez  Correa,1,3496938611,.marcela..ramírez..correa0023@udea.edu.co,Seccional Magdalena Medio
 Paula  Guerra  Medina,1,4248629635,.paula..guerra..medina0024@udea.edu.co,Seccional Suroeste
 Sofia  Torres  Blanco,1,3609971095,.sofia..torres..blanco0025@udea.edu.co,Sede Norte
 Samantha  García  Arias,1,2116185321,.samantha..garcía..arias0026@udea.edu.co,Sede Norte
 Antonella  Reyes  Guerrero,1,4465594604,.antonella..reyes..guerrero0027@udea.edu.co,Ciudad Universitaria
 Alexander  Guerrero  Domínguez,1,0472766126,.alexander..guerrero..domínguez0028@udea.edu.co,Sede Sonsón
 Carolina  Torres  Oliva,1,4951699764,.carolina..torres..oliva0029@udea.edu.co,Seccional Occidente
 María José  Castro  Miranda,1,0772728863,.maría.josé..castro..miranda0030@udea.edu.co,Seccional Oriente
 Felipe  Álvarez  Medina,1,4368874259,.felipe..álvarez..medina0031@udea.edu.co,Seccional Oriente
 Daniel  Miranda  Aguilar,1,5337494656,.daniel..miranda..aguilar0032@udea.edu.co,Seccional Oriente
 Victoria  González  Serrano,1,6201599176,.victoria..gonzález..serrano0033@udea.edu.co,Sede Nordeste
 Valentina  Torres  Ortega,1,4161233925,.valentina..torres..ortega0034@udea.edu.co,Ciudad Universitaria
 Gabriela  Pérez  Navarro,1,1599015874,.gabriela..pérez..navarro0035@udea.edu.co,Seccional Bajo Cauca
 Jennifer  Ramos  Medina,1,2387205884,.jennifer..ramos..medina0036@udea.edu.co,Seccional Magdalena Medio
 Mauricio  Rubio  Benítez,1,7548284301,.mauricio..rubio..benítez0037@udea.edu.co,Seccional Bajo Cauca
 Emma  Cortés  Amaya,1,7689552376,.emma..cortés..amaya0038@udea.edu.co,Seccional Suroeste
 Diego  Varela  Ochoa,1,2635776858,.diego..varela..ochoa0039@udea.edu.co,Seccional Urabá
 Isabella  Cabello  Ortega,1,3375950600,.isabella..cabello..ortega0040@udea.edu.co,Sede Distrito Minero
 Santiago  Gil  Ríos,1,8730067388,.santiago..gil..ríos0041@udea.edu.co,Seccional Oriente
 Clara  Esteban  Morales,1,8586647657,.clara..esteban..morales0042@udea.edu.co,Sede Norte
 Sara  Calvo  Abad,1,3767782134,.sara..calvo..abad0043@udea.edu.co,Sede Norte
 Laura  Díaz  Miranda,1,5235149954,.laura..díaz..miranda0044@udea.edu.co,Sede Distrito Minero
 Catalina  Ortega  Cabrera,1,2430000891,.catalina..ortega..cabrera0045@udea.edu.co,Seccional Occidente
 Jennifer  Gómez  Vidal,1,5648449269,.jennifer..gómez..vidal0046@udea.edu.co,Sede Sonsón
 Mariana  Prieto  González,1,2297904186,.mariana..prieto..gonzález0047@udea.edu.co,Ciudad Universitaria
 Catalina  Arias  Díaz,1,9975729491,.catalina..arias..díaz0048@udea.edu.co,Seccional Magdalena Medio
 Leonardo  Marín  Suárez,1,3580720466,.leonardo..marín..suárez0049@udea.edu.co,Sede Distrito Minero
 Emma  Amaya  Prieto,1,9242172165,.emma..amaya..prieto0050@udea.edu.co,Seccional Oriente
 Valentina  Rubio  Serrano,1,1895257271,.valentina..rubio..serrano0051@udea.edu.co,Sede Sonsón
 Juan  Moya  Cruz,1,6893496452,.juan..moya..cruz0052@udea.edu.co,Sede Nordeste
 Valentina  Cortés  Morales,1,6450344643,.valentina..cortés..morales0053@udea.edu.co,Seccional Urabá
